Id,Sales
1,5331
2,8464
3,10035
4,6663
5,7416
6,6140
7,8944
8,9049
9,6405
10,6340
11,7794
12,8735
13,7599
14,8438
15,6924
16,5293
17,6680
18,10982
19,12556
20,11449
21,8632
22,6186
23,6740
24,4898
25,9453
26,11724
27,10070
28,7282
29,5934
30,5478
31,5992
32,11787
33,8108
34,6290
35,6598
36,8234
37,4424
38,8389
39,5120
40,7601
41,8739
42,6074
43,8335
44,7459
45,5327
46,7412
47,8273
48,12203
49,6859
50,9247
51,8053
52,10779
53,7696
54,10870
55,5566
56,5207
57,7204
58,6598
59,10241
60,9002
61,6481
62,8823
63,7529
64,10935
65,4435
66,14734
67,5656
68,6604
69,9608
70,6417
71,7351
72,7178
73,8502
74,5972
75,6004
76,8739
77,8608
78,8609
79,5157
80,8015
81,12102
82,7223
83,4940
84,8050
85,6512
86,7955
87,8182
88,4487
89,9242
90,6773
91,8324
92,7271
93,4994
94,7728
95,6412
96,8637
97,10574
98,5670
99,6091
100,7172
101,6866
102,6649
103,9309
104,7533
105,8419
106,6513
107,5125
108,7615
109,8782
110,9695
111,9204
112,9479
113,6606
114,9744
115,6794
116,8915
117,10061
118,8078
119,11222
120,9098
121,9345
122,6769
123,8112
124,9383
125,7511
126,4592
127,6540
128,8888
129,8172
130,5875
131,9994
132,7534
133,6423
134,6627
135,6251
136,8532
137,8287
138,7900
139,6194
140,5363
141,7645
142,4474
143,7155
144,6074
145,10188
146,8143
147,7442
148,10282
149,6486
150,5459
151,12387
152,8181
153,9395
154,8592
155,6115
156,6868
157,6088
158,8283
159,13180
160,6453
161,3862
162,5510
163,9603
164,10791
165,7804
166,8467
167,5262
168,5773
169,3529
170,5716
171,6654
172,7637
173,8317
174,6975
175,8953
176,10243
177,8458
178,5805
179,10579
180,13455
181,7295
182,8821
183,6050
184,7509
185,5118
186,8603
187,6482
188,9743
189,8041
190,10278
191,9323
192,6003
193,10260
194,21033
195,12661
196,6961
197,3560
198,7280
199,11552
200,6312
201,12417
202,22035
203,4028
204,5987
205,10369
206,5860
207,11222
208,7690
209,8339
210,4201
211,8598
212,7606
213,8070
214,10789
215,7080
216,6670
217,7903
218,6514
219,5730
220,8967
221,6766
222,7280
223,8315
224,6717
225,6075
226,8137
227,8258
228,9644
229,6575
230,7975
231,6266
232,4467
233,7312
234,8131
235,6187
236,4940
237,10988
238,8495
239,10117
240,7572
241,6705
242,6036
243,4769
244,11683
245,6131
246,8783
247,16530
248,8273
249,7648
250,5760
251,5071
252,8286
253,4849
254,7056
255,11225
256,6238
257,17262
258,16213
259,5612
260,8489
261,5707
262,7570
263,6381
264,12472
265,8594
266,10225
267,5287
268,7661
269,5352
270,9687
271,8307
272,7136
273,7496
274,5957
275,9798
276,10232
277,6322
278,12013
279,7615
280,10518
281,5185
282,6446
283,6356
284,12123
285,7791
286,9033
287,8212
288,10218
289,5086
290,9017
291,7061
292,4569
293,16944
294,19255
295,8985
296,9552
297,11170
298,11939
299,11679
300,6744
301,8554
